,popularity
popularity,1.0
track_genre_pop-film,0.11600497878337747
track_genre_k-pop,0.10027325844014265
track_genre_chill,0.0925361267619831
track_genre_sad,0.08762820068562278
track_genre_indian,0.07509542627471213
track_genre_grunge,0.07222865691040288
track_genre_anime,0.0707815696066536
track_genre_sertanejo,0.0699615336193628
track_genre_emo,0.06489404994018436
track_genre_progressive-house,0.06160820336442206
time_signature_4,0.05801323835483343
track_genre_deep-house,0.055376862835915905
track_genre_mandopop,0.05528152848868214
track_genre_brazil,0.054738822798473176
track_genre_piano,0.05428806766802804
track_genre_pop,0.05324501661180026
track_genre_pagode,0.05222715931329603
track_genre_ambient,0.05183631038978492
track_genre_electronic,0.05068534743112102
track_genre_british,0.04724613684322691
track_genre_metalcore,0.04715561766564158
track_genre_metal,0.04344696226508692
track_genre_psych-rock,0.043065812387217246
track_genre_acoustic,0.04260187852105478
track_genre_dubstep,0.042157351334468234
explicit,0.04018712401361426
track_genre_world-music,0.03984594107882576
track_genre_hard-rock,0.039153501361689644
track_genre_forro,0.03711761786158412
track_genre_gospel,0.03643761971834341
track_genre_j-pop,0.03532981579512524
loudness,0.035178333688898875
track_genre_french,0.03439583462951599
track_genre_garage,0.03387187575169867
track_genre_mpb,0.0337288620640995
track_genre_dub,0.032140398573963246
track_genre_j-rock,0.03164162200281205
track_genre_turkish,0.03150589548188356
track_genre_indie-pop,0.03061109697202821
duration_ms,0.028226556608924563
track_genre_techno,0.027453400611323665
danceability,0.026628490890970167
track_genre_indie,0.022953846439103483
track_genre_samba,0.022385921226291763
track_genre_groove,0.02225321062761335
track_genre_trance,0.021100766188394706
track_genre_punk,0.02087876024389356
track_genre_hip-hop,0.020419558527213173
track_genre_singer-songwriter,0.020354022694171147
track_genre_songwriter,0.020354022694171147
track_genre_folk,0.020160946414879404
track_genre_spanish,0.02014266193893141
track_genre_punk-rock,0.02004100517661527
key_4,0.01802846381434899
tempo,0.01708517794605146
key_2,0.016800879019961152
track_genre_r-n-b,0.016708831916646242
track_genre_swedish,0.016393788993307803
track_genre_synth-pop,0.01518982767810324
track_genre_hardcore,0.011332288491635442
key_11,0.009618118622874818
track_genre_electro,0.00957849463435523
track_genre_children,0.008723439882067745
acousticness,0.008399165149659334
track_genre_sleep,0.00781931734870173
track_genre_edm,0.00711211864992323
time_signature_0,0.0054022468729383105
track_genre_cantopop,0.005186302713814639
track_genre_ska,0.005062475272935913
key_6,0.004488008145629015
track_genre_rock-n-roll,0.004070978308630698
track_genre_trip-hop,0.003984670257414472
track_genre_alt-rock,0.0034417899385797363
track_genre_dancehall,0.0033408488673528384
track_genre_minimal-techno,0.0028211598025739476
track_genre_house,0.00190404031902727
track_genre_disco,0.0013510315398975608
track_genre_funk,-0.0008916551945913952
key_3,-0.0010250270497586826
key_1,-0.0012543950423286494
track_genre_club,-0.0021078591215685587
key_8,-0.002623598528344568
key_5,-0.0034913157214795875
track_genre_death-metal,-0.005758075481922133
key_9,-0.006466519150391458
track_genre_rockabilly,-0.007393199168312707
track_genre_blues,-0.007528215723680665
liveness,-0.008189075224840187
key_10,-0.009529861756332034
key_7,-0.010759842505167082
track_genre_industrial,-0.01083380964797737
track_genre_show-tunes,-0.011203373918494373
key_0,-0.012045151752735551
mode,-0.014501468548976607
track_genre_malay,-0.015968095933425793
time_signature_1,-0.017487221369447054
track_genre_guitar,-0.018263188432233513
track_genre_new-age,-0.02118952762866486
track_genre_goth,-0.021636048730626033
energy,-0.023513149268771617
track_genre_salsa,-0.024904068872737457
time_signature_5,-0.026731517909869027
track_genre_german,-0.027544406458849688
track_genre_study,-0.030063503111679716
track_genre_disney,-0.030252528579406343
track_genre_power-pop,-0.031239853064661267
track_genre_hardstyle,-0.03182386987592354
track_genre_latino,-0.03330776660377479
track_genre_j-dance,-0.03352977254827594
track_genre_drum-and-bass,-0.03405364983730908
track_genre_heavy-metal,-0.03571815121153092
track_genre_bluegrass,-0.03735962450926526
track_genre_alternative,-0.03774816461332247
track_genre_reggaeton,-0.03924348377095804
track_genre_opera,-0.040840912007678164
valence,-0.04190168742667887
track_genre_comedy,-0.042707868077225195
track_genre_j-idol,-0.043500153858221674
track_genre_afrobeat,-0.044951320601179644
time_signature_3,-0.04827466344772621
track_genre_dance,-0.04840293984117905
track_genre_reggae,-0.05007132026110459
track_genre_party,-0.05401910236839728
track_genre_black-metal,-0.05510679394062552
track_genre_soul,-0.05647256156005061
track_genre_happy,-0.05653401938526612
track_genre_breakbeat,-0.05930131627646361
track_genre_rock,-0.062296872820900046
track_genre_tango,-0.06659127700515295
track_genre_country,-0.06680116773089538
speechiness,-0.06787217704989641
track_genre_idm,-0.0756591174590399
track_genre_honky-tonk,-0.07584033759974723
instrumentalness,-0.07845353937183722
track_genre_kids,-0.07960525204544514
track_genre_jazz,-0.08153722292492123
track_genre_classical,-0.08251195983529853
track_genre_grindcore,-0.08519291002796098
track_genre_chicago-house,-0.08559231145998854
track_genre_detroit-techno,-0.08809049991333741
track_genre_latin,-0.10082579629453563
track_genre_romance,-0.1235223646694957
track_genre_iranian,-0.12712719762649816
